title,authors,fieldOfStudy,year,doiUrl
Clinical or Industrial Pharmacy? Case Studies of Hospital Pharmacy Automation in Canada and France,J  Novek,Medicine,1998,https://doi.org/10.2190/W2BT-FGXQ-QL0G-YNL9
Noncoronary and coronary atherothrombotic plaque imaging and monitoring of therapy by MRI.,Zahi A Fayad,Medicine,2002,https://doi.org/10.1016/S1052-5149%2802%2900023-0
Fully convolutional architecture vs sliding-window CNN for corneal endothelium cell segmentation,"Juan P. Vigueras-Guillén, Busra  Sari, Stanley F. Goes, Hans G. Lemij, Jeroen  van Rooij, Koenraad A. Vermeer, Lucas J. van Vliet",Computer Science,2019,https://doi.org/10.1186/s42490-019-0003-2
Technologies for Detecting Falsified and Substandard Drugs in Low and Middle-Income Countries,"Stephanie  Kovacs, Stephen E. Hawes, Stephen N. Maley, Emily  Mosites, Ling  Wong, Andy  Stergachis",Medicine,2014,https://doi.org/10.1371/journal.pone.0090601
Effects of annealing temperature on the structure and static magnetic properties of NiZnCo ferrite thin films,"Lezhong  Li, Lezhong  Li, Zhong  Yu, Zhongwen  Lan, Ke  Sun, Rongdi  Guo",Materials Science,2014,https://doi.org/10.1016/J.JMMM.2014.05.005
Mutation screening in non-syndromic hearing loss patients with cochlear implantation by massive parallel sequencing in Taiwan,"Wei-Hsiu  Liu, Pi-Yueh  Chang, Shih-Cheng  Chang, Jang-Jih  Lu, Che-Ming  Wu",Medicine,2019,https://doi.org/10.1371/journal.pone.0211261
"Pamidronic acid and cabergoline as effective long-term therapy in a 12-year-old girl with extended facial polyostotic fibrous dysplasia, prolactinoma and acromegaly in McCune-Albright syndrome: a case report","Carl Friedrich Classen, Monika  Mix, Ulrike  Kyank, Christina  Hauenstein, Dieter  Haffner",Medicine,2012,https://doi.org/10.1186/1752-1947-6-32
A high resolution measurement of temperature anisotropies in the cosmic microwave background radiation with the complete ACBAR data set,Christian L Reichardt,Physics,2008,https://doi.org/10.7907/A0NQ-TD75.
Author Correction: Regulation of Hippo pathway transcription factor TEAD by p38 MAPK-induced cytoplasmic translocation,"Kimberly C. Lin, Toshiro  Moroishi, Zhipeng  Meng, Han-Sol  Jeong, Steven W. Plouffe, Yoshitaka  Sekido, Jiahuai  Han, Hyun Woo Park, Kun-Liang  Guan",Biology,2018,https://doi.org/10.1038/s41556-018-0101-8
A Prospective Study of Anterior Segment Ocular Parameters in Anisometropia,"Neha  Singh, Jolly  Rohatgi, Vinod  Kumar",Medicine,2017,https://doi.org/10.3341/kjo.2017.31.2.165
Mutations That Alter the Carboxy‐Terminal‐Propeptide Cleavage Site of the Chains of Type I Procollagen Are Associated With a Unique Osteogenesis Imperfecta Phenotype,"Tim  Cundy, Michael  Dray, John W. Delahunt, Jannie Dahl Hald, Bente L. Langdahl, Chumei  Li, Marta  Szybowska, Shehla  Mohammed, Emma L. Duncan, Aideen M. McInerney-Leo, Patricia G Wheeler, Paul  Roschger, Klaus  Klaushofer, Jyoti  Rai, MaryAnn  Weis, David R. Eyre, Ulrike  Schwarze, Peter H. Byers",Biology,2018,https://doi.org/10.1002/jbmr.3424
Screening of second messengers involved in photocyte bioluminescence control of three ophiuroid species (Ophiuroidea: Echinodermata),"C  Vanderlinden, Y  Dewael, J  Mallefet",Biology,2003,https://doi.org/10.1242/jeb.00520
Protective Efficacy of Newcastle Disease Virus Expressing Soluble Trimeric Hemagglutinin against Highly Pathogenic H5N1 Influenza in Chickens and Mice,"Lisette A. H. M. Cornelissen, Olav S. de Leeuw, Mirriam G. Tacken, Heleen C. Klos, Robert P. de Vries, Els A. de Boer-Luijtze, Diana J. van Zoelen-Bos, Alan  Rigter, Peter J. M. Rottier, Rob J. M. Moormann, Cornelis A. M. de Haan",Biology,2012,https://doi.org/10.1371/journal.pone.0044447
Potential Drug-Drug and Herb-Drug Interactions in Patients With Cancer: A Prospective Study of Medication Surveillance.,"Allan  Ramos-Esquivel, Álvaro  Víquez-Jaikel, Cristina  Fernández",Medicine,2017,https://doi.org/10.1200/JOP.2017.020859
Cylindrical manifolds and tube dynamics in the restricted three-body problem,Shane D. Ross,Physics,2004,https://doi.org/10.7907/KHYT-A428.
Study on the Impact of Filter Layer Permeability on Revetment Top Layer Stability under Wave Action,"Liehong, Ju, Junning, Pan, Chengrui, Liu",Engineering,2015,https://doi.org/10.17265/2159-5879%2F2015.06.006
A study on social economic statistic data spatial distribution in land sustainable use assessment,"Kaiwen  Zhong, Jingliang  Li, Xiaodong  Zhang",Geography,2006,https://doi.org/10.1117/12.713159
Human intestinal spirochetosis: Analysis of the symptoms of 209 patients,"Bianca  Weisheit, Birgit  Bethke, Manfred  Stolte",Medicine,2007,https://doi.org/10.1080/00365520701245629
Sequential investments with stage-specific risks and drifts,"Roger  Adkins, Dean  Paxson",Economics,2017,https://doi.org/10.1080/1351847X.2016.1158728
